A_LANGUAGE	A_ANIMATE	A_BLACK	A_BLUE	A_CRESCENT	A_GOLD	A_GREEN	A_ICON	A_LANMASS	A_ORANGE	A_RED	A_RELIGION	A_TEXT	A_TRIANGLE	A_WHITE	A_ZONE	AREA	BARS	CIRCLES	COLOURS	CROSSES	MAINHUE	POPULATION	QUARTERS	SALTIRES	STRIPES	SUNSTARS	TOPLEFT	BOTHRIGHT	NAME
English	no	no	yes	no	yes	no	no	Oceania	no	no	Christian	no	no	yes	SE	0	0	0	5	1	blue	0	1	1	0	9	white	blue	Tuvalu
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	84	1	0	4	0	green	1	0	0	3	0	red	black	UAE
English	yes	yes	no	no	yes	no	no	Africa	no	no	Ethnic	no	no	yes	NE	236	0	1	5	0	gold	13	0	0	6	0	black	red	Uganda
English	no	no	yes	no	no	no	no	Europe	no	no	Christian	no	no	yes	NW	245	0	0	3	1	red	56	0	1	0	0	white	red	UK
Spanish	no	no	yes	no	yes	no	no	S.America	no	yes	Catholic	no	no	yes	SW	178	0	0	3	0	white	3	1	0	9	1	white	white	Uruguay
English	yes	no	yes	no	yes	yes	yes	N.America	no	no	Christian	yes	no	yes	NW	0	0	0	6	0	white	0	0	0	0	0	white	white	US-Virgin-Isles
English	no	no	yes	no	no	no	no	N.America	no	no	Christian	no	no	yes	NW	9363	0	0	3	0	white	231	1	0	13	50	blue	red	USA
Slavic	no	no	no	no	yes	no	yes	Asia	no	no	Marxist	no	no	no	NE	22402	0	0	2	0	red	274	0	0	0	1	red	red	USSR
Other-Indo-European	yes	yes	no	no	yes	yes	no	Oceania	no	no	Christian	no	yes	no	SE	15	0	0	4	0	red	0	0	0	0	0	black	green	Vanuatu
Other-Indo-European	no	yes	no	no	yes	no	yes	Europe	no	no	Catholic	no	no	yes	NE	0	2	0	4	0	gold	0	0	0	0	0	gold	white	Vatican-City
Spanish	yes	yes	yes	no	yes	yes	yes	S.America	yes	no	Catholic	no	no	yes	NW	912	0	0	7	0	red	15	0	0	3	7	gold	red	Venezuela
English	no	no	no	no	yes	no	no	Asia	no	no	Marxist	no	no	no	NE	333	0	0	2	0	red	60	0	0	0	1	red	red	Vietnam
English	no	no	yes	no	no	no	no	Oceania	no	no	Christian	no	no	yes	SW	3	0	0	3	0	red	0	1	0	0	5	blue	red	Western-Samoa
Other-Indo-European	no	no	yes	no	yes	no	no	Europe	no	no	Marxist	no	no	yes	NE	256	0	0	4	0	red	22	0	0	3	1	blue	red	Yugoslavia
English	yes	no	no	no	yes	yes	yes	Africa	yes	no	Ethnic	no	no	no	SE	905	0	1	4	0	green	28	0	0	0	0	green	green	Zaire
English	yes	yes	no	no	no	yes	no	Africa	yes	no	Ethnic	no	no	no	SE	753	3	0	4	0	green	6	0	0	0	0	green	brown	Zambia
English	yes	yes	no	no	yes	yes	yes	Africa	no	no	Ethnic	no	yes	yes	SE	391	0	0	5	0	green	8	0	0	7	1	green	green	Zimbabwe
